"issuekey","created","storypoint","context","codesnippet","t_Improvement","t_Bug","t_New.Feature","t_Story","c_Core","c_Titanium","c_Security","c_Verification","c_Registry","c_CLI","c_Installer","c_Node.Utilities","c_Documentation","c_Markdown"
"CLI-903","07/21/2014 20:09:25",13,"Investigate locking down NPM dependencies When deploying NPM modules, even if we specify exact versions in our package.json file, those dependencies could be less strict in what they choose to use. The end result is that every install of our NPM modules could be different, leading to difficult-to-reporduce bugs.    One solution is to use tools like shrink-wrap or lockdown:    https://www.npmjs.org/doc/cli/npm-shrinkwrap.html  https://www.npmjs.org/package/lockdown    Some goals:    * People can use NPM install from the NPMJS repo like before  * They only get the exact set of direct and indirect dependencies we've tested    There is a concern (as noted in APPTS-1879) that a dependency could be unpublished from NPM. It's unclear how prevalent that is, but it is a possibility.    If we instead decided to host a version of our nodules external to NPMJS, then we'd need to make sure we removed them from the main repo to avoid confusion.  ","",1,0,0,0,1,0,0,0,0,0,0,0,0,0
"CLI-649","03/21/2015 22:38:27",5,"Android build tool warning directs user to run ""ti config"" h5. Description:  I was warned in console of a potential compatibility issue with my build tools. This warned told me to set with ""ti config"". This should be updated to reflect new tools.        h5. Steps to reproduce:  1) Install Android build tools 22  2) Create an android project in studio or CLI and run on emulator or device    h5. Result:  The console warning appears with references to ""ti config""    h5. Expected Result:  The warning should say ""appc ti config""","[WARN] :     [WARN] :   Android Build Tools 22 are too new and may or may not work with Titanium.  [WARN] :   If you encounter problems, select a supported version with:  [WARN] :      ti config android.buildTools.selectedVersion ##.##.##  [WARN] :    where ##.##.## is a version in /Users/eric/Android_SDK/build-tools that is <=21.x",0,1,0,0,0,1,0,0,0,0,0,0,0,0
"CLI-517","04/03/2015 15:10:54",5,"Add ""appc test"" command I would like not to use any NPM commands when using Arrow as I feel it is confusing to jump between the two.    Add `appc test` which passes through to `npm test`","",1,0,0,0,1,0,0,0,0,0,0,0,0,0
"CLI-531","04/08/2015 00:28:39",5,"appc unpublish should support ""--project-dir"" h5. Description:  While closing a related ticket, I tried {{appc run}}, {{appc publish}}, and {{appc unpublish}} from outside the project directory. {{appc unpublish --project-dir}} does not work.    An error is shown like:      h5. Steps to reproduce:  1) Create or use an Arrow project, publish the app  2) From outside the directory, run {{appc unpublish --project-dir <your directory here>}}    h5. Result:  The app does not unpublish, {{appc unpublish}} help does not show support for {{--project-dir}}    h5. Expected Result:  Unpublish support for {{--project-dir}}","emerrimanMBP:~ eric$ appc unpublish --project-dir ~/arrowsCarbon/  Appcelerator Command-Line Interface, version 0.2.230  Copyright (c) 2014-2015, Appcelerator, Inc.  All Rights Reserved.    ERROR  | No component found or specified for unpublish  ",1,0,0,0,1,0,0,0,0,0,0,0,0,0
"CLI-615","04/14/2015 01:20:50",5,"Unable to run 'appc setup' on io.js appc won't setup on io.js    ","  appc setup                                                                                                                         [17:18:00]  Finding latest version ...0.2.242 ✓  Version 0.2.242 already installed.  ? Do you plan on developing Titanium apps? Yes    Checking your environment...    You have the latest Titanium SDK release 4.0.0.Beta2  ERROR  | titanium exited with 1 exit code  ",0,1,0,0,0,1,0,0,0,0,0,0,0,0
"CLI-561","04/17/2015 08:22:41",3,"Automatically prompt for new login when session is invalid Every now and then I get the error we see reported in the Q&A a lot as well:        Logging out (I using {{-D}} to be sure) and in again fixes it.    I think the UX would be better if don't spit out an error but inform the user the session as expired and he needs to login again. Then under the hood logout, clean up whatever we can and present the login again.    ","  ERROR | invalid session    ≫ appc new  Appcelerator Command-Line Interface, version 0.2.247  Copyright (c) 2014-2015, Appcelerator, Inc.  All Rights Reserved.    ? What type of project are you creating? Native App  ? Which SDK would you like to use? Titanium SDK (JavaScript)  ? What's the project name? bully  ? What's your application id (example: com.myapp)? nl.fokkezb  ERROR  | invalid session    (~/dev/tests)  ≫ appc logout -D  Appcelerator Command-Line Interface, version 0.2.247  Copyright (c) 2014-2015, Appcelerator, Inc.  All Rights Reserved.    logged out    (~/dev/tests)  ≫ appc login  Appcelerator Command-Line Interface, version 0.2.247  Copyright (c) 2014-2015, Appcelerator, Inc.  All Rights Reserved.    Appcelerator Login required to continue ...    ? Appcelerator ID: fzandbergen@appcelerator.com  ? Password: *********  ? Into which organization would you like to login? Appcelerator, Inc    This computer must be authorized before you can complete your login.    ? Confirm with authorization code to Email or Phone/SMS? SMS to +31624105142    An authorization code was sent to your phone at +31624105142    ? Please enter the code you received: 1086    This computer is now authorized: Mac OSX Serial Number: C02MP05QFH05  You can deauthorize this computer by logging out with appc logout    Generating Developer Certificate and Private/Public Keys...  fzandbergen@appcelerator.com logged into organization Appcelerator, Inc [14301]    (~/dev/tests)  ≫ appc new  Appcelerator Command-Line Interface, version 0.2.247  Copyright (c) 2014-2015, Appcelerator, Inc.  All Rights Reserved.    ? What type of project are you creating? Native App  ? Which SDK would you like to use? Titanium SDK (JavaScript)  ? What's the project name? bully  ? What's your application id (example: com.myapp)? nl.fokkezb  ? Please provide your password for enabling Test service: *********    *** new completed. ***  ",1,0,0,0,0,0,0,1,0,0,0,0,0,0
"CLI-563","04/17/2015 18:34:58",0,"Alert users when attempting to run an app that belongs to a different org than they are currently logged in as if the current user is logged in under Org A and tries to run an app created under Org B that fails. The error message is cryptic:    That's fine if the user has no rights to Org B, we shouldn't give any details about it. But if the user _is_ a member of the other org that the app belongs to, we should give more details about why we can't run this app. Specifically we should tell them they are logged in under Org A, the app is part of Org B and that they need to logout and back in under Org B to run it.","  [ERROR] :  Application not registered.  titanium exited with exit code 100  ",1,0,0,0,0,0,1,0,0,0,0,0,0,0
"CLI-570","04/21/2015 10:40:26",8,"Titanium always does full rebuild, forced by encryptJS When building a Titanium app for iOS Simulator, it always forces a rebuild because *JavaScript files need to be re-encrypted*. This even happens when you set deploy type to development. It does however *NOT* happen when you skip {{appc run}} and use {{ti build}} directly.    This issue makes rebuilds take a lot longer then needed.    h1. To reproduce    1. Create a project.  2. Run the project via AppC ({{appc run -p ios}}) once for an initial build.  3. Run the project via AppC again ({{appc run -p ios}}) and confirm it says: {{Forcing rebuild: JavaScript files need to be re-encrypted}} and later {{Forcing rebuild: ApplicationDefaults.m has changed since last build}}.  4. Run the project via AppC with development deployType ({{appc run -p ios -D development}}) once for a new build with changed deployType.  5. Run the project via AppC with development deployType ({{appc run -p ios -D development}}) again and confirm it says the same.  6. Run the project via Ti ({{ti build -p ios}}) once to generate a new build.  7. Run the project via Ti ({{ti build -p ios}}) again to confirm that this time it does not force a rebuild.    Found by this user:  https://community.appcelerator.com/topic/203/appcelerator-forcing-a-rebuild-for-javascript-re-encryption","",0,1,0,0,0,1,0,0,0,0,0,0,0,0
"CLI-571","04/21/2015 20:04:12",1,"Appc ti -v returns Appc CLI version When I run {{appc ti -v}} I get the output of {{appc -v}}.    *Steps to reproduce issue*:  1. Run {{appc ti -v}}    *Actual Results*:  Same output as {{appc -v}}    *Expected Results*:  Output should show the local Titanium CLI version.","",0,1,0,0,1,0,0,0,0,0,0,0,0,0
"CLI-573","04/22/2015 08:39:14",0,"Random ""Cannot find module"" errors when updating via ""appc use latest"" Every now and then people get {{Cannot find module}} errors during {{appc use latest}} and sometimes with {{appc run}}.    * https://community.appcelerator.com/topic/123/the-login-server-returned-an-error/19  * https://community.appcelerator.com/topic/150/can-not-login-to-appcelerator-studio/5  * https://community.appcelerator.com/topic/219/error-cannot-find-module-after-update-0-2-255  * https://community.appcelerator.com/topic/185/error-cannot-find-module-arrow/2 (slightly different, during appc run﻿)","",0,1,0,0,1,0,0,0,0,0,0,0,0,0
