"issuekey","created","storypoint","context","codesnippet","t_New.Feature","t_Improvement","t_Bug","t_Task","t_Build.Failure","t_Question","t_Problem.Ticket","t_Incident","t_Sub.task","c_app","c_legacy.ui","c_perf.tools","c_platform","c_ui","c_ops"
"EVG-336","06/03/2014 22:41:30",1,"Spawnhost in AWS regions besides us-east-1 ""[~david.hows] recently spent a month in NYC as a new """"exo-dev"""" for the kernel team. He proclaimed MCI as a """"Brilliant magical tool, knowledge and access to it needs to be shared widely.""""    One point he identified: +spawnhost+ functionality is incredibly helpful, *except when the host is on the other side of the world from you*. Packet latency from Sydney to us-east-1 is bad and Windows RDP is especially unusable with high latency.    If we roll out spawnhost functionality more widely to support staff, Dublin will feel the same pinch, but Sydney will still feel it most.    *Request*: allow spawnhost users to provision instance in a alternate Amazon EC2 region.    - I think you need [AMI Copy for Amazon EC2|http://aws.amazon.com/about-aws/whats-new/2013/03/12/announcing-ami-copy-for-amazon-ec2/]  -- pay for transfer and storage in the new region  - Initial EC2 regions supported:  -- US East (Virginia) = us-east-1  -- Asia Pacific (Sydney) = ap-southeast-2  -- MAYBE: EU West (Ireland) = eu-west-1  - Add a pull-down menu on the """"spawnhost configure"""" page to select AWS region (small set we allow)  - Use MCI user timezone preferences to select an EC2 region for the user?  -- or make it another preference?  ""","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-90","03/09/2015 19:54:06",2,"get rid of global locking ""its bad design and its gettin pretty irritating to users when patches time out.""","",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-136","05/06/2015 16:45:54",1,"hostinit should use workdir ""In provisioning and setting up a host, the hostinit process should do all it's work in the specified distro working directory.""","",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-298","05/13/2015 21:16:12",1,"Simplify util.FileExists API ""the function definition is        which accepts multiple arguments then path joins them together. However, none of our code actually makes use of this multi-arg approach. We always do a filepath.Join() on the inputs before passing them to FileExists in our code. Let's change the function to behave the way we're using it.""","  func FileExists(elem ...string) (bool, error) {   path := filepath.Join(elem...)   _, err := os.Stat(path)   if err == nil {    return true, nil   }   if os.IsNotExist(err) {    return false, nil   }   return false, err  }  ",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-68","05/14/2015 21:44:08",2,"allow terminating a host directly from UI ""if """"decommissioning"""" a host isn't good enough (the host is actually stuck in a weird state that decommissioning won't get it out of) it would be useful to have the ability to just forceably terminate it right away.""","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-223","06/08/2015 22:08:15",2,"Add patch alert triggers ""as an extension of the alert/notify rewrite""","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-497","08/19/2015 20:02:15",2,"""Terminate host ()?"" ""When clicking the trash icon on https://evergreen.mongodb.com/ui/spawn I get a thoughtful question if I am sure if I want to terminate the instance... But it doesn't tell me which instance.    The message appears to supposed to have more info  {code}  public/static/partials/user_host_terminate.html:      Terminate <strong>[[curHostData.distro._id]]</strong> host (<strong>[[curHostData.id]]</strong>)?  {code}    But only becomes    ""","  public/static/partials/user_host_terminate.html:      Terminate <strong>[[curHostData.distro._id]]</strong> host (<strong>[[curHostData.id]]</strong>)?    Terminate host ()?  ",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"EVG-518","08/27/2015 16:40:48",1,"Remove InsecureSkipVerify with modified go http package ""evaluate whether or not we can take out InsecureSkipVerify with the modified http package for go 1.6  ""","",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"EVG-631","10/09/2015 21:20:41",1,"Log an event whenever a user sets priority ""Would be nice to have the option to look this up if we ever encounter a string of abuse.""","",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-700","11/03/2015 20:58:53",2,"Add git tags in commit, if any, to waterfall page ""Is it possible to display any tags a given commit has in the waterfall page? Now that there are no BUMP commits for releases this information will be very useful to identify releases.    See attached screenshot for details.    Thanks,  Ramón.    Cc [~geert.bosch]""","",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"EVG-763","12/03/2015 20:29:16",2,"evergreen configuration validator should validate commands inside of functions  ""e.g. if a function definition is missing a command field, it should raise an error in the validator.""","",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"EVG-805","01/12/2016 17:13:12",1,"Disallow decommissioning static hosts ""That status doesn't make a lot of sense for static hosts - they should either be running or quarantined on the hosts page. There also appear to be some internal process(es?) that attempt to terminate hosts in this status.""","",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-929","03/25/2016 15:07:12",1,"spawn page should give helpful error if there are no spawnable distros ""This will only affect deployments where no distro types allow user spawning. Right now on such deployments, you can set up a public key but cannot click the """"SPAWN"""" button, with no error message to indicate why.""","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-939","03/31/2016 23:14:59",1,"'Error setting host RDP password' message incorrectly displays error message ""I received this error message:      """"\[object Object\]"""" should be the error message instead, presumably.""","  Error setting host RDP password: [object Object]  ",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-948","04/06/2016 01:32:18",1,"Add revision order number to expansions ""This will allow users to upload artifacts with a monotonically increasing sequence number.""","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-992","05/04/2016 15:51:09",1,"""json.get"" and ""s3.get"" commands should automatically create outer directory if it doesn't exist yet ""for example, in :      if """"src"""" doesn't exist, we should just automatically mkdir it before trying to write stand.json into it.  This avoids the need for the project maintainer to have to remember to explicitly do a """"mkdir"""" somewhere before the command runs.    The workaround is to add the following before the json.get:    ""","         - command: json.get           params:             task: ${compare_task}             variant : ${variant1}             file: """"src/stand.json""""             name: """"perf""""           - command: shell.exec           params:             script: |                mkdir -p src  ",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1016","05/17/2016 22:21:48",1,"System.out/err xUnit output not displayed ""See [this build|https://evergreen.mongodb.com/task/mongo_java_driver_ubuntu_1404_test_0078a5e9b337fd76cacf38c2185c84a67ed25a5b_16_05_16_15_31_47#/log/E]    Many of the test suites should have System.out content in the test report, e.g.        I don't see it displayed anywhere in the UI.""","  <?xml version=""""1.0"""" encoding=""""UTF-8""""?>  <testsuite name=""""com.mongodb.operation.InsertOperationSpecification"""" tests=""""18"""" skipped=""""0"""" failures=""""0"""" errors=""""0"""" timestamp=""""2016-05-16T15:55:01"""" hostname=""""jeff.fios-router.home"""" time=""""1.112"""">    <properties/>    <testcase name=""""should return correct result"""" classname=""""com.mongodb.operation.InsertOperationSpecification"""" time=""""0.051""""/>  ...    <system-out><![CDATA[11:55:01.790 [Test worker] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:377, serverValue:69}] to localhost:27017  ]]></system-out>    <system-err><![CDATA[]]></system-err>  </testsuite>  ",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1041","06/06/2016 18:27:33",2,"Add audit log for user-triggered events with filtering ""Would be nice to have an audit log listing who did what at what time on Evergreen.    Right now if I need to restart a task I can add a note via the Build Baron plugin saying """"I restarted this task"""", but if I need to restart all failures in a build (EVG-429) I can't easily add a note to all the restarted tasks.    Ideally the audit log would have some filtering mechanism (like the waterfall view has) so one could type """"restart"""" to see all the recent task restarts.    I think this would be useful information for the Build Baron to have, so the """"audit log"""" is just a proposal. If a task restart (or cancellation, or priority change) automatically added a note visible via the BB plugin I think that would meet the requirements.""","",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"EVG-1053","06/13/2016 18:55:11",1,"repo tracker should not try to fetch info on projects that are still in the process of being configured ""Creating a new project from the admin panel inserts a record into the project refs, and the next repo tracker run tries to pull commits for that project ref even when the user has not yet finished updating it with the repo owner/name/branch etc.    This results in almost always getting at least 1 alert about the project being broken as it's being set up, which is pretty annoying (and confusing).""","",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1066","06/22/2016 04:31:31",2,"hosts page should show idle time of each host ""It shows how long the host has been up, and (if applicable) how long the current task has been running.  But, there's no way to see how long an idle host has been idle, without going to a specific host's page and inspecting its event log.""","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-3011","07/13/2016 22:01:19",8,"Add ability to zoom out on performance trend graphs ""From multiple discussions it would be nice to be able to zoom out on the trend graphs on mongo-perf and sys-perf to see longer term trends. The data could be sampled as we zoom out. ""","",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"EVG-9415","07/20/2016 18:50:22",0.5,"Write build system and Evergreen configuration for greenbay ""This will borrow significantly from the amboy/curator/etc projects.""","",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"EVG-9556","07/20/2016 18:55:21",1,"Define test result type and reporting format for greenbay ""Include methods for creating, aggregating, printing, writing to a file, both in human readable format and in evergreen's report.json format.""","",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"EVG-1245","10/06/2016 20:12:57",2,"New Project should be disabled on project page for non super-users ""Project admins cannot create their own projects. ""","",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1285","10/31/2016 18:52:35",1,"Project admins cannot view disabled projects if they have no enabled projects ""Suppose I am the project admin of two projects, foo and bar. If foo is enabled and bar is disabled, I can view both foo and bar. If, however, I am just the project admin of bar, I cannot view bar.""","",0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"EVG-1286","10/31/2016 20:10:25",1,"Track how many tasks a host has run ""This would enable us to easily see if hosts ever get into the pathological state of coming up, waiting, and then shutting down without running any tasks. We could log an event when this occurs. ""","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1288","11/01/2016 15:02:42",2,"Task execution data files only appear when viewing Latest ""When viewing a previous execution of a task the files associated to that execution are not visible. When viewing the Latest, all executions are visible (this may not make sense).""","",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1335","11/22/2016 19:46:56",2,"Hide decommissioned hosts on Hosts page ""Can the decommissioned hosts be hidden by default on the Hosts page?  Perhaps we can have a checkbox 'Show decommissioned hosts' similar to what we do for spawned?    I don't think anyone needs to see those boxes on a daily basis, I never had a case where I needed to see or do anything with the decommissioned servers, they just take additional space on the page and make sorting and filtering more difficult.""","",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"EVG-1350","12/01/2016 22:05:40",1,"Document undocumented evergreen commands ""I have seen the following commands in various Evergreen config files, but none are documented on the [Project Commands|https://github.com/evergreen-ci/evergreen/wiki/Project-Commands] wiki page:  * archive.targz_pack  * expansions.fetch  * expansions.update  * git.apply_patch  * keyval.inc  * manifest.load  * s3.get  * s3Copy.copy  * shell.track  * shell.cleanup    Could these (and any *other* available commands) please be documented?    Thanks""","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1386","12/19/2016 18:19:09",2,"Set RDP Password no longer working ""I can no longer use the """"Set RDP Password"""" to set passwords on the windows spawn hosts.    The form appears to have been submitted successfully but the password is never changed, I have to login to the server over ssh and reset it manually""","",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"EVG-1404","01/05/2017 18:11:28",1,"Remove HTTP verb constants in evergreen package when GCCGO version moves beyond 1.4 ""The HTTP verb constants that go added after go1.4, e.g. http.MethodPut etc, are copied into the evergreen globals.go file so that we can use them in GCCGO version 1.4.     When we upgrade past this version, the constants should be removed and references to them should be replaced. ""","",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
